,x,y,emoji
267,-25.37773912836724,8.278972466338866,🇧🇫
268,-22.864147329053466,5.2429065547879015,🇧🇬
269,-25.277155327089073,1.4882548532455837,🇧🇭
270,-7.969537893124876,12.506439027369328,🇧🇮
271,-24.94402775595276,4.585925969439684,🇧🇯
272,-24.60158564013317,0.1482892110322111,🇧🇲
273,-26.063001274721458,4.247471874203727,🇧🇳
274,-26.334176779536147,7.079936175800024,🇧🇴
275,-24.52015869791053,3.4265039465145937,🇧🇶
276,-14.318953044827401,15.325535414909668,🇧🇷
277,-27.142018052516107,2.743705373280839,🇧🇸
278,-15.7453304003394,-0.8401527120788063,🇧🇹
279,-26.271354718826554,-0.5353767813905048,🇧🇻
280,-13.640237048435182,-1.2791439497784312,🇧🇼
281,-20.530180661243666,0.43088316656689496,🇧🇾
282,-7.8887924538525755,12.640303864551562,🇧🇿
283,-24.54227640278726,2.837170304429239,🇨🇦
284,-25.99995109563513,0.08286876060565507,🇨🇨
285,-26.301956163508567,1.7953426603583156,🇨🇩
286,-24.234682851079167,7.219647210253682,🇨🇫
287,-7.987798192889682,12.493415089144756,🇨🇬
288,-16.087845814521877,-5.572097138918728,🇨🇭
289,-23.98267772442976,7.238275140701307,🇨🇮
290,-22.616848988166478,3.3940784102219483,🇨🇰
291,-7.405467581894989,11.047859227844087,🇨🇱
292,-25.59900730126415,7.102051527691917,🇨🇲
293,-26.263942181055643,2.8708353277808847,🇨🇳
294,-28.254664860681057,4.807550936269099,🇨🇴
295,-26.240598046227305,-0.15152542514136752,🇨🇵
296,-23.957916827253868,9.166866335005079,🇨🇷
297,-24.58036142149661,7.755945934379183,🇨🇺
298,-25.466094567925865,6.759987125030722,🇨🇻
299,-7.687678600033317,13.081685635416646,🇨🇼
300,-26.37370005889827,-0.23217343616116742,🇨🇽
301,-25.9611011772788,5.871570375427894,🇨🇾
302,-23.811705200347237,7.531030334226725,🇨🇿
303,-23.911551560677307,4.16061683260231,🇩🇪
304,-24.293125855532722,6.5035183193776325,🇩🇬
305,-26.522514980051184,8.000471106685357,🇩🇯
306,-27.718895753657918,5.503180133965287,🇩🇰
307,-27.358134332355707,6.090199255473851,🇩🇲
308,-24.954431278572965,-0.43803769472217535,🇩🇴
309,-23.436755180268328,5.9753503932088154,🇩🇿
310,-15.507703115730608,-1.635223067540239,🇪
311,-28.253496392240084,3.8726652499564818,🇪🇨
312,-27.863184721824044,5.677688852689896,🇪🇪
